height_m,wet_radius_micron,concentration_m3
0.0,85522.08119424972,3.158580331080876e-07
0.0,88122.8553970983,3.259950953535035e-07
0.0,90802.72059445671,3.3644228176841556e-07
0.0,93564.08198759372,3.472089755004201e-07
0.0,96409.4179212906,3.5830484607717966e-07
0.0,99341.28210817614,3.697398581059746e-07
0.0,102362.30592070491,3.8152428023696435e-07
0.0,105475.20075283584,3.936686943982894e-07
0.0,108682.76045353094,4.061840053113123e-07
0.0,111987.86383425782,4.1908145029462547e-07
0.0,115393.47725274699,4.323726093656451e-07
0.0,118902.65727532245,4.4606941564891307e-07
0.0,122518.55342019544,4.601841661005026e-07
0.0,126244.41098418315,4.7472953255817334e-07
0.0,130083.57395538961,4.897185731272484e-07
0.0,134039.4880144627,5.05164743912469e-07
0.0,138115.70362712117,5.210819111063903e-07
0.0,142315.87923072715,5.374843634451957e-07
0.0,146643.78451776397,5.543868250431589e-07
0.0,151103.30381916664,5.718044686172876e-07
0.0,155698.439590541,5.897529291140621e-07
0.0,160433.3160044008,6.082483177505148e-07
0.0,165312.18265164687,6.273072364822758e-07
0.0,170339.41835561034,6.469467929116458e-07
0.0,175519.5351020827,6.671846156490056e-07
0.0,180857.1820888607,6.880388701414688e-07
0.0,186357.14989843994,7.095282749829427e-07
0.0,192024.3747976024,7.316721187203056e-07
0.0,197863.94316775695,7.544902771707405e-07
0.0,203881.09607000882,7.780032312658672e-07
0.0,210081.23394905546,8.022320854386255e-07
0.0,216469.9214801306,8.271985865694829e-07
0.0,223052.8925633463,8.529251435089841e-07
0.0,229836.05546991638,8.794348471941381e-07
0.0,236825.49814487807,9.067514913767635e-07
0.0,244027.49367107413,9.348995939823679e-07
0.0,251448.5058992961,9.639044191187888e-07
0.0,259095.19524964463,9.937919997542833e-07
0.0,266974.4246893112,1.0245891610855544e-06
0.0,275093.2658921488,1.0563235446165674e-06
0.0,283459.0055855576,1.0890236329698458e-06
0.0,292079.1520903832,1.1227187754525634e-06
0.0,300961.44205969735,1.15743921440027e-06
0.0,310113.8474225078,1.1932161123220253e-06
0.0,319544.5825386313,1.2300815798712298e-06
0.0,329262.1115711494,1.2680687046673207e-06
0.0,339275.15608306514,1.3072115809941622e-06
0.0,349592.7028649784,1.3475453404018017e-06
0.0,360224.012000805,1.3891061832391126e-06
0.0,371178.6251787792,1.4319314111455477e-06
0.0,382466.3742551976,1.4760594605312458e-06
0.0,394097.39007859206,1.5215299370754952e-06
0.0,406082.1115822506,1.5683836512745443e-06
0.0,418431.29515324626,1.6166626550706945e-06
0.0,431156.0242863845,1.66641027959546e-06
0.0,444267.719531731,1.7176711740607828e-06
0.0,457778.1487446508,1.7704913458332239e-06
0.0,471699.43764755584,1.8249182017269096e-06
0.0,486044.0807128421,1.8810005905525614e-06
0.0,500824.9523767815,1.9387888469605853e-06
0.0,516055.31859443587,1.9983348366177646e-06
0.0,531748.8487459618,2.0596920027578475e-06
0.0,547919.6279049927,2.122915414148154e-06
0.0,564582.1694801095,2.1880618145148915e-06
0.0,581751.4282407447,2.2551896734718373e-06
0.0,599442.8137392139,2.324359238997955e-06
0.0,617672.2041409144,2.3956325915110156e-06
0.0,636455.9604751127,2.4690736995859056e-06
0.0,655810.9413191029,2.544748477367453e-06
0.0,675754.5179289205,2.6227248437294244e-06
0.0,696304.5898301885,2.7030727832327643e-06
0.0,717479.6008830902,2.7858644089377577e-06
0.0,739298.5558358878,2.8711740271265675e-06
0.0,761781.0373818403,2.959078203994016e-06
0.0,784947.2237348348,3.0496558343669214e-06
0.0,808817.9067394998,3.1429882125130744e-06
0.0,833414.5105320595,3.2391591051038768e-06
0.0,858759.1107686729,3.338254826396023e-06
0.0,884874.4544385193,3.440364315699435e-06
0.0,911783.9802794099,3.545579217201406e-06
0.0,939511.839814249,3.6539939622182202e-06
0.0,968082.9190272276,3.7657058539482773e-06
0.0,997522.8606991995,3.88081515480288e-06
0.0,1027858.0874222909,3.999425176392561e-06
0.0,1059115.8253143958,4.121642372250596e-06
0.0,1091324.1284548428,4.2475764333759e-06
0.0,1124511.9040631661,4.37734038668192e-06
0.0,1158708.938443572,4.511050696439325e-06
0.0,1193945.9237183963,4.648827368803914e-06
0.0,1230254.4853745378,4.7907940595231645e-06
0.0,1267667.2106475986,4.937078184918564e-06
0.0,1306217.6777691934,5.0878110362427855e-06
0.0,1345940.4861036951,5.24312789751503e-06
0.0,1386871.287201451,5.403168166939494e-06
0.0,1429046.816796344,5.5680754820165806e-06
0.0,1472504.9277764205,5.737997848458847e-06
0.0,1517284.6241571694,5.9130877730275334e-06
0.0,1563426.096087954,6.09350240040864e-06
0.0,1610970.7559230002,6.279403654251703e-06
0.0,1659961.275389331,6.470958382497787e-06
0.0,1710441.6238849948,6.668338507126877e-06
0.0,1762457.1079419663,6.8717211784593334e-06
0.0,1816054.411889134,7.081288934149955e-06
0.0,1871281.6397518737,7.297229863017001e-06
0.0,1928188.3584258116,7.519737773853666e-06
0.0,1986825.6421635232,7.74901236937294e-06
0.0,2047246.118414098,7.985259425442695e-06
0.0,2109504.0150567163,8.228690975771146e-06
0.0,2173655.2090706187,8.479525502209037e-06
0.0,2239757.2766851573,8.737988130838908e-06
0.0,2307869.54505494,9.004310834027563e-06
0.0,2378053.145506448,9.278732638623483e-06
0.0,2450371.068403909,9.561499840485192e-06
0.0,2524888.219683663,9.85286622553394e-06
0.0,2601671.479107792,1.0153093297528883e-05
0.0,2680789.7602892546,1.0462450512768618e-05
0.0,2762314.072542424,1.078121552193084e-05
0.0,2846317.5846145423,1.1109674419265688e-05
