height_m,bin_index,r_wet_m,number_concentration_m3
1.0,119,6.394939155172534e-08,10535682.410340453
1.0,120,6.612555433742806e-08,9952374.44740668
1.0,121,6.836896372741913e-08,9374616.421146434
1.0,122,7.068149926635326e-08,8805277.929183714
1.0,123,7.30650927831601e-08,8246988.568210695
1.0,124,7.552173001114648e-08,7702123.511576095
1.0,125,7.80534522529872e-08,7172793.482397987
1.0,126,8.066235809149785e-08,6660839.009282619
1.0,127,8.335060514713672e-08,6167828.776717174
1.0,128,8.612041188324408e-08,5695061.816245813
1.0,129,8.897405946007856e-08,5243573.228685325
1.0,130,9.191389363877175e-08,4814143.082522149
1.0,131,9.494232673637877e-08,4407308.099618021
1.0,132,9.806183963325732e-08,4023375.71641858
1.0,133,1.0127498383407467e-07,3662440.096711592
1.0,134,1.0458438358378767e-07,3324399.6700595464
1.0,135,1.0799273804000474e-07,3008975.7775139106
1.0,136,1.1150282350319307e-07,2715732.0221388373
1.0,137,1.1511749570624819e-07,2444093.945076936
1.0,138,1.1883969216500394e-07,2193368.677173331
1.0,139,1.2267243459130882e-07,1962764.2502363382
1.0,140,1.2661883137036706e-07,1751408.2895860868
1.0,141,1.306820801040911e-07,1558365.8493542122
1.0,142,1.3486547022228378e-07,1382656.1928722672
1.0,143,1.3917238566353672e-07,1223268.361311826
1.0,144,1.4360630762779112e-07,1079175.4135461503
1.0,145,1.4817081740258688e-07,949347.2581346602
1.0,146,1.5286959926507506e-07,832762.0336886579
1.0,147,1.5770644346193928e-07,728416.0260980346
1.0,148,1.6268524926941903e-07,635332.139778192
1.0,149,1.678100281356624e-07,552566.9649654939
1.0,150,1.730849069076458e-07,479216.50401675596
1.0,151,1.7851413114494865e-07,414420.63663894933
1.0,152,1.8410206852266043e-07,357366.4170865671
1.0,153,1.898532123256829e-07,307290.3057976579
1.0,154,1.9577218503675495e-07,263479.44395637064
1.0,155,2.0186374202051628e-07,225272.08238051052
1.0,156,2.081327753060195e-07,192057.27629427446
1.0,157,2.1458431747016525e-07,163273.95533314216
1.0,158,2.2122354562466233e-07,138409.47393008543
1.0,159,2.2805578550922319e-07,116997.74143149953
1.0,160,2.3508651569391073e-07,98617.02426023917
1.0,161,2.423213718935673e-07,82887.5045290325
1.0,162,2.497661513975395e-07,69468.67103059181
1.0,163,2.574268176176449e-07,58056.60977597384
1.0,164,2.653095047576672e-07,48381.252469381194
1.0,165,2.734205226073653e-07,40203.632705793556
1.0,166,2.8176636146350807e-07,33313.19143023768
1.0,167,2.9035369718108275e-07,27525.165439002067
1.0,168,2.991893963564914e-07,22678.085534397494
1.0,169,3.0828052164528605e-07,18631.404433975615
1.0,170,3.1763433721635644e-07,15263.268722338682
1.0,171,3.272583143446993e-07,12468.44403381285
1.0,172,3.371601371449547e-07,10156.398261226366
1.0,173,3.4734770844833586e-07,8249.543876781394
1.0,174,3.5782915582585593e-07,6681.6373887308555
1.0,175,3.686128377613281e-07,5396.331495726884
1.0,176,3.79707349978154e-07,4345.873585669696
1.0,177,3.91121531924369e-07,3489.942800009381
1.0,178,4.0286447342102294e-07,2794.616888358543
1.0,179,4.149455214784604e-07,2231.4594528499597
1.0,180,4.273742872865122e-07,1776.717869684958
1.0,181,4.40160653384259e-07,1410.6221226905375
1.0,182,4.5331478101362194e-07,1116.774940330348
1.0,183,4.6684711766545905e-07,881.6239480905833
1.0,184,4.80768404823106e-07,694.0069920081545
1.0,185,4.950896859134222e-07,544.7623209722292
1.0,186,5.09822314476729e-07,426.39590499036797
1.0,187,5.24977962566532e-07,332.79878839446116
1.0,188,5.405686294030935e-07,259.0080100292763
1.0,189,5.566066502960127e-07,201.00525004923156
1.0,190,5.7310470586927e-07,155.5479720038572
1.0,191,5.900758316164093e-07,120.02840968049888
1.0,192,6.075334278275039e-07,92.35629379148713
1.0,193,6.25491269926784e-07,70.86171955252647
1.0,194,6.439635192639591e-07,54.21502000498083
1.0,195,6.629647344086389e-07,41.36093071050003
1.0,196,6.825098829888826e-07,31.464709589655705
1.0,197,7.02614354120354e-07,23.8682125566685
1.0,198,7.232939714649383e-07,18.054223299681656
1.0,199,7.445650069443723e-07,13.617596636617389
2.0,0,9.532080993540407e-10,13.563351944458207
2.0,1,9.837539699079509e-10,17.983017556161236
2.0,2,1.0153843309592385e-09,23.77501807170867
2.0,3,1.0481419188960135e-09,31.34309606190149
2.0,4,1.0820712731762084e-09,41.20270061285954
2.0,5,1.1172188138298275e-09,54.009756916594874
2.0,6,1.15363292200813e-09,70.5962307784069
2.0,7,1.1913640236594928e-09,92.01392516567637
2.0,8,1.230464676410553e-09,119.58820650459487
2.0,9,1.2709896597297641e-09,154.9836555905786
2.0,10,1.3129960684487123e-09,200.2839742869968
2.0,11,1.3565434097143748e-09,258.0888567330902
2.0,12,1.4016937034430498e-09,331.6309539470416
