species,radius_micron,concentration_cm^-3
sulfate,0.009234470374862466,11.73759250151034
sulfate,0.00949408667424193,12.452581065001803
sulfate,0.00976100178125924,13.16526891731029
sulfate,0.01003542089332712,13.870435549874292
sulfate,0.010317554976742787,14.562651957653037
sulfate,0.010607620928873369,15.236346789309085
sulfate,0.01090584174490098,15.885878444350322
sulfate,0.011212446689255619,16.50561187808227
sulfate,0.011527671471867736,17.08999869895889
sulfate,0.011851758429375907,17.633658998611658
sulfate,0.012184956711428958,18.13146324845411
sulfate,0.012527522472225746,18.578612533265527
sulfate,0.012879719067439878,18.970715375110352
sulfate,0.013241817256680718,19.303859432488323
sulfate,0.01361409541164635,19.574676440166204
sulfate,0.013996839730128528,19.780398883477865
sulfate,0.014390344456034106,19.91890707403893
sulfate,0.014794912105592136,19.98876550724872
sulfate,0.015210853699920495,19.9892476295536
sulfate,0.015638489004130843,19.920348417923222
sulfate,0.016078146773155777,19.78278446697226
sulfate,0.016530165004487077,19.577981581608842
sulfate,0.016994891198019405,19.308050175628903
sulfate,0.01747268262319923,18.975749069829654
sulfate,0.01796390659368432,18.584438558023127
sulfate,0.01846894074972493,18.13802385735763
sulfate,0.018988173348483864,17.640890273293984
sulfate,0.01952200356251848,17.09783158334715
sulfate,0.02007084178665424,16.513973272678278
sulfate,0.020635109953485574,15.89469233586513
sulfate,0.021215241857746737,15.24553539138545
sulfate,0.021811683489801947,14.572136838983116
sulfate,0.02242489337851123,13.8801387271959
sulfate,0.02305534294373547,13.175113892533396
sulfate,0.023703516858751817,12.462493787943888
sulfate,0.024369913422857915,11.747502242366798
sulfate,0.025055044944451495,11.035096192083444
sulfate,0.02575943813487976,10.329914205628306
sulfate,0.02648363451336144,9.63623339475401
sulfate,0.027228190823292704,8.957935071881149
sulfate,0.027993679460257048,8.298479286766288
sulfate,0.0287806889120682,7.660888158387248
sulfate,0.029589824211184265,7.047737718079076
sulfate,0.03042170739984098,6.461157801616766
sulfate,0.03127697800826169,5.9028393750124195
sulfate,0.03215629354631156,5.3740485539694225
sulfate,0.033060330008974154,4.875646481726035
sulfate,0.03398978239603881,4.408114164864683
sulfate,0.03494536524639847,3.9715813309574908
sulfate,0.03592781318736865,3.5658583641382453
sulfate,0.03693788149944987,3.1904703925286784
sulfate,0.03797634669696772,2.8446926419632543
sulfate,0.039044007125036945,2.5275862302492005
sulfate,0.04014168357330847,2.238033651564782
sulfate,0.041270219906971134,1.97477328771077
sulfate,0.04243048371549347,1.7364323779641513
sulfate,0.04362336697960391,1.5215579785877895
sulfate,0.04484978675702247,1.3286455432229143
sulfate,0.04611068588747095,1.156164853404087
sulfate,0.04740703371750364,1.0025831216779808
sulfate,0.04873982684571584,0.8663851761395912
sulfate,0.050110089888902976,0.7460907129704113
sulfate,0.0515188762697595,0.6402686716066662
sulfate,0.05296726902672286,0.5475488447801327
sulfate,0.05445638164658539,0.46663088258862945
sulfate,0.055987358920514096,0.39629088607387175
sulfate,0.05756137782413641,0.33538581194812117
sulfate,0.05917964842236853,0.282855926812993
sulfate,0.060843414799681965,0.23772555735548842
sulfate,0.06255395601652339,0.19910238362802837
sulfate,0.06431258709262314,0.16617551674487438
sulfate,0.06612066001794831,0.13821259131261568
sulfate,0.06797956479207762,0.11455608779842151
sulfate,0.06989073049279691,0.09461908191691851
sulfate,0.07185562637473727,0.07788059799282644
sulfate,0.07387576299889971,0.06388072203810759
sulfate,0.07595269339393543,0.05221560875672579
sulfate,0.07808801425007392,0.04253249552106587
sulfate,0.08028336714661694,0.034524816088086434
sulfate,0.08254043981394228,0.0279274878547033
sulfate,0.08486096743098695,0.022512429089577218
sulfate,0.08724673395920782,0.018084347016498175
sulfate,0.08969957351404495,0.014476823964965564
sulfate,0.09222137177494188,0.011548717069794616
sulfate,0.09481406743500724,0.00918087715264912
sulfate,0.09747965369143163,0.0072731843626292515
sulfate,0.10022017977780595,0.005741891761094242
sulfate,0.10303775253951902,0.004517263152534008
sulfate,0.10593453805344574,0.003541487918018808
sulfate,0.10891276329317079,0.002766853223495218
sulfate,0.11197471784102819,0.0021541525758458076
sulfate,0.11512275564827283,0.0016713091157217518
sulfate,0.11835929684473709,0.001292192109207303
sulfate,0.12168682959936394,0.0009956056858931106
sulfate,0.12510791203304678,0.000764429840253415
sulfate,0.12862517418524627,0.000584894954353679
sulfate,0.13224132003589667,0.00044597251761349785
sulfate,0.1359591295841553,0.00033886623453567317
sulfate,0.1397814609855939,0.00025658926004422784
sulfate,0.14371125274947455,0.00019361483420190636
sulfate,0.14775152599779937,0.0001455890657017584
sulfate,0.1519053867878708,0.00010909600937868605
