,z,P,T,wv,wc,wi,S,rho
83.0,83.0,76704.9589358636,273.314185324052,0.005099404689896145,5.766814691826059e-05,0.0,0.0032093342916569424,0.9725638956385242
84.0,84.0,76695.41896186968,273.3082499162578,0.005097693200751928,5.937963606247982e-05,0.0,0.0031308018266409682,0.9724651966342206
85.0,85.0,76685.87995657211,273.30226925336507,0.005096001905438208,6.107093137619982e-05,0.0,0.0030591526882062206,0.9723666553372714
86.0,86.0,76676.34191850209,273.2962475862136,0.0050943289071358755,6.274392967853226e-05,0.0,0.002993733434527368,0.9722682576016176
87.0,87.0,76666.80484632499,273.2901889243243,0.005092672416707761,6.440042010664667e-05,0.0,0.002933927563998914,0.9721699900874674
88.0,88.0,76657.26873883168,273.28409699895934,0.00509103076918165,6.604206763275568e-05,0.0,0.0028791612239728514,0.9720718403832865
89.0,89.0,76647.73359492928,273.2779752443262,0.005089402432137878,6.767040467652757e-05,0.0,0.002828906128684529,0.971973797067586
90.0,90.0,76638.19941363121,273.27182679238774,0.005087786008025073,6.928682878933279e-05,0.0,0.002782680382746208,0.9718758497255827
91.0,91.0,76628.66619765294,273.26565440727586,0.0050861802634260996,7.089257338830546e-05,0.0,0.0027400582943340685,0.9717779892129181
92.0,92.0,76619.13393897626,273.25946079540495,0.0050845839906787935,7.248884613561046e-05,0.0,0.002700623880263872,0.9716802064397085
93.0,93.0,76609.60264048743,273.2532481446222,0.005082996213516982,7.40766232974233e-05,0.0,0.002664040004367917,0.9715824941790258
94.0,94.0,76600.0723015316,273.24701848404675,0.005081416026502721,7.565681031168428e-05,0.0,0.0026299942109942747,0.9714848456860098
95.0,95.0,76590.54292151575,273.24077361270025,0.005079842626872466,7.723020994193904e-05,0.0,0.0025982094255898266,0.9713872549809899
96.0,96.0,76581.01449990172,273.23451512043215,0.005078275305200102,7.879753161430265e-05,0.0,0.0025684407459251094,0.9712897167797732
97.0,97.0,76571.48703619975,273.22824440851286,0.005076713436207697,8.035940060670828e-05,0.0,0.002540472282105933,0.971192226425072
98.0,98.0,76561.96052996267,273.2219627094585,0.005075156469918981,8.191636689542332e-05,0.0,0.002514114112636175,0.9710947798205214
99.0,99.0,76552.43498078076,273.2156711056042,0.005073603923372194,8.346891344221081e-05,0.0,0.002489199431955959,0.9709973733688775
100.0,100.0,76542.91038827726,273.20937054626904,0.005072055372959954,8.501746385445203e-05,0.0,0.002465581912639406,0.970900003914924
101.0,101.0,76533.38675680204,273.2030618290723,0.005070510462766856,8.65623740475504e-05,0.0,0.0024431381799770668,0.9708026688681779
102.0,102.0,76523.86407663558,273.19674575624504,0.005068968834819534,8.810400199487247e-05,0.0,0.002421745369151867,0.970705365440811
103.0,103.0,76514.3423521762,273.19042292899394,0.005067430220846258,8.964261596814839e-05,0.0,0.002401310362423224,0.9706080916948686
104.0,104.0,76504.82158314262,273.18409390864446,0.005065894370371184,9.117846644322243e-05,0.0,0.0023817465929526255,0.9705108457642049
105.0,105.0,76495.3017692707,273.17775918799896,0.005064361063494746,9.27117733196617e-05,0.0,0.002362978053123804,0.9704136260102928
106.0,106.0,76485.78291031132,273.1714192004869,0.005062830106811238,9.424273000316829e-05,0.0,0.002344937886151641,0.9703164309918201
107.0,107.0,76476.2650060285,273.1650743280017,0.005061301329911295,9.577150690310681e-05,0.0,0.002327567179222511,0.9702192594386518
108.0,108.0,76466.74805619796,273.15872490774893,0.005059774582326336,9.729825448806346e-05,0.0,0.0023108139088996098,0.9701221102290797
109.0,109.0,76457.2320606057,273.1523712382035,0.005058249730870198,9.882310594419886e-05,0.0,0.0022946320234212792,0.9700249823700344
