height_m,wet_radius_micron,concentration_m3
1.0,38205.064032041075,1.034747180518173e-07
1.0,39302.97463821905,1.0685240446619193e-07
1.0,40432.43623716979,1.10330953786762e-07
1.0,41594.355519419245,1.1391319687308673e-07
1.0,42789.66523133621,1.1760204564362505e-07
1.0,44019.32492390705,1.2140049546902479e-07
1.0,45284.32172302823,1.253116276291587e-07
1.0,46585.671121934916,1.2933861183565325e-07
1.0,47924.41779640185,1.334847088216817e-07
1.0,49301.63644337092,1.377532730008922e-07
1.0,50718.43264367862,1.4214775519737572e-07
1.0,52175.943749575934,1.466717054486692e-07
1.0,53675.339797753266,1.5132877588382295e-07
1.0,55217.824448603154,1.5612272367868007e-07
1.0,56804.63595247478,1.6105741409049833e-07
1.0,58437.04814369626,1.6613682357416676e-07
1.0,60116.37146316221,1.7136504298225773e-07
1.0,61843.95401030797,1.767462808511949e-07
1.0,63621.18262531452,1.8228486677587634e-07
1.0,65449.484002413075,1.879852548750194e-07
1.0,67330.32583518319,1.938520273495871e-07
1.0,69265.21799476368,1.9988989813668316e-07
1.0,71255.71374192179,2.0610371666125766e-07
1.0,73303.41097395438,2.1249847168814536e-07
1.0,75409.95350742144,2.190792952769807e-07
1.0,77577.0323977421,2.2585146684261596e-07
1.0,79806.38729671211,2.328204173239149e-07
1.0,82099.80784903273,2.39991733463762e-07
1.0,84459.13512897215,2.4737116220331835e-07
1.0,86886.26311831274,2.549646151935882e-07
1.0,89383.1402267705,2.62778173427309e-07
1.0,91951.77085610703,2.708180919941614e-07
1.0,94594.21700919032,2.790908049621168e-07
1.0,97312.5999452951,2.8760293038753213e-07
1.0,100109.10188297252,2.963612754564461e-07
1.0,102985.96775185551,3.0537284175934897e-07
1.0,105945.5069948061,3.1464483070148597e-07
1.0,108990.09542185199,3.2418464905089785e-07
1.0,112122.17711740013,3.339999146264071e-07
1.0,115344.26640225828,3.440984621281039e-07
1.0,118658.94985204001,3.5448834911323304e-07
1.0,122068.8883735731,3.6517786212086056e-07
1.0,125576.81934097844,3.7617552294932237e-07
1.0,129185.55879313398,3.874900950907004e-07
1.0,132898.00369428794,3.991305903272135e-07
1.0,136717.1342596358,4.111062754946904e-07
1.0,140646.01634772823,4.2342667941810007e-07
1.0,144687.8039216307,4.3610160002511196e-07
