height_m,bin_index,r_wet_m,number_concentration_m3
1.0,70,1.3604155918724944e-06,76481.08924804183
1.0,71,1.4021890623510043e-06,80737.36555647462
1.0,72,1.445226735297259e-06,85071.52960154756
1.0,73,1.489567288167337e-06,89471.15961574628
1.0,74,1.535250603609691e-06,93922.80368246711
1.0,75,1.5823178033721803e-06,98412.02938486337
1.0,76,1.6308112830576906e-06,102923.48533883436
1.0,77,1.6807747478106764e-06,107440.97449600144
1.0,78,1.7322532490197499e-06,111947.53893984894
1.0,79,1.78529322211775e-06,116425.55573178074
1.0,80,1.8399425255611605e-06,120856.84319689168
1.0,81,1.8962504810663625e-06,125222.77687387468
1.0,82,1.954267915178439e-06,129504.41419332498
1.0,83,2.0140472022440463e-06,133682.62679616135
1.0,84,2.07564230885662e-06,137738.23926202193
1.0,85,2.1391088398387705e-06,141652.17288944972
1.0,86,2.204504085823636e-06,145405.59305740046
1.0,87,2.2718870724932255e-06,148980.05860446545
1.0,88,2.3413186115297295e-06,152357.67158938624
1.0,89,2.4128613533333576e-06,155521.22574669798
1.0,90,2.486579841557876e-06,158454.35192549333
1.0,91,2.5625405695142766e-06,161141.6587986074
1.0,92,2.6408120384914617e-06,163568.86715489274
1.0,93,2.721464818042731e-06,165722.9361381265
1.0,94,2.804571608286343e-06,167592.17987300566
1.0,95,2.890207304269234e-06,169166.3730197963
1.0,96,2.978449062443155e-06,170436.84392435898
1.0,97,3.0693763693041127e-06,171396.5541763502
1.0,98,3.163071112246773e-06,172040.16355457407
1.0,99,3.2596176526878362e-06,172364.079521045
1.0,100,3.359102901513557e-06,172366.49062187926
1.0,101,3.461616396909691e-06,172047.383360666
1.0,102,3.567250384633229e-06,171408.54232426046
1.0,103,3.6760999007893486e-06,170453.533559528
1.0,104,3.7882628571781463e-06,169187.67141749102
1.0,105,3.903840129279718e-06,167617.9692964082
1.0,106,4.022935646948327e-06,165753.07492233242
1.0,107,4.145656487889595e-06,163603.19100287964
1.0,108,4.272112973998102e-06,161179.98227267325
1.0,109,4.402418770635109e-06,158496.47011507454
1.0,110,4.536690988930144e-06,155566.91609175436
1.0,111,4.675050291193343e-06,152406.69583652884
1.0,112,4.817620999527864e-06,149032.16487193495
1.0,113,4.964531207736699e-06,145460.51798379837
1.0,114,5.1159128966200245e-06,141709.64384074198
1.0,115,5.27190205276374e-06,137797.97657107137
1.0,116,5.432638790923187e-06,133744.34600916968
1.0,117,5.598267480109315e-06,129567.8282983282
1.0,118,5.76893687348876e-06,125287.5984871065
1.0,119,5.9448002422124605e-06,120922.78668433469
1.0,120,6.126015513291929e-06,116492.33924453647
1.0,121,6.312745411645469e-06,112014.88634393946
1.0,122,6.505157606441133e-06,107508.61717917702
1.0,123,6.7034248618671935e-06,102991.16387911697
1.0,124,6.907725192464588e-06,98479.4950680668
1.0,125,7.118242023160821e-06,93989.81985817225
1.0,126,7.335164354148602e-06,89537.50288393287
1.0,127,7.558686930756866e-06,85136.99082438709
1.0,128,7.789010418467166e-06,80801.75069241767
1.0,129,8.02634158323211e-06,76544.22000764235
1.0,130,8.270893477258076e-06,72375.76881267404
1.0,131,8.522885630419094e-06,68306.67334398338
1.0,132,8.782544247474428e-06,64346.10103029943
