height_m,bin_index,r_wet_m,number_concentration_m3
1.0,37,4.648703511185106e-09,883.30209529043
1.0,38,4.777733180988144e-09,1164.394004997794
1.0,39,4.910378270610053e-09,1528.1131602417272
1.0,40,5.046741636181756e-09,1996.5303997045623
1.0,41,5.186929121425266e-09,2596.9356956820143
1.0,42,5.331049646081134e-09,3362.879633573099
1.0,43,5.479215296931525e-09,4335.371413886037
1.0,44,5.6315414214877425e-09,5564.243881639282
1.0,45,5.7881467244121206e-09,7109.693290764402
1.0,46,5.9491533667453435e-09,9043.997580146817
1.0,47,6.114687068011347e-09,11453.411721801218
1.0,48,6.284877211273011e-09,14440.232069821965
1.0,49,6.4598569512129e-09,18125.013494997722
1.0,50,6.639763325314255e-09,22648.913387083634
1.0,51,6.824737368218485e-09,28176.12536273252
1.0,52,7.01492422933625e-09,34896.352831399025
1.0,53,7.210473293790145e-09,43027.2586414579
1.0,54,7.4115383067678285e-09,52816.81216291017
1.0,55,7.618277501365247e-09,64545.43979379616
1.0,56,7.83085373000035e-09,78527.8695662912
1.0,57,8.049434599478469e-09,95114.54596829509
1.0,58,8.274192609791152e-09,114692.47810289875
1.0,59,8.50530529673089e-09,137685.37380638838
1.0,60,8.74295537840493e-09,164552.9053416984
1.0,61,8.987330905731744e-09,195788.94983179666
1.0,62,9.23862541700447e-09,231918.65075006717
1.0,63,9.497038096606114e-09,273494.1565377095
1.0,64,9.76277393796183e-09,321088.9096485718
1.0,65,1.0036043910814217e-08,375290.3847113528
1.0,66,1.0317065132907994e-08,436691.2084699794
1.0,67,1.0606061046171136e-08,505878.6367944643
1.0,68,1.090326159747998e-08,583422.4150323307
1.0,69,1.1208903424096624e-08,669861.1065179429
1.0,70,1.1523230043867521e-08,765687.0389099331
1.0,71,1.1846492050273078e-08,871330.0874114666
1.0,72,1.2178947312418778e-08,987140.585577283
1.0,73,1.2520861180059566e-08,1113371.725600266
1.0,74,1.287250669375017e-08,1250161.877599232
1.0,75,1.3234164800215495e-08,1397517.3181216852
1.0,76,1.3606124573036573e-08,1555295.90831618
1.0,77,1.3988683438749428e-08,1723192.298535687
1.0,78,1.43821474084559e-08,1900725.2552292137
1.0,79,1.478683131504801e-08,2087227.7049961174
1.0,80,1.5203059056149688e-08,2281840.067343146
1.0,81,1.5631163842882557e-08,2483507.4005305623
1.0,82,1.6071488454565885e-08,2690980.8133775746
1.0,83,1.65243854994641e-08,2902823.500571712
1.0,84,1.699021768169944e-08,3117421.641601732
1.0,85,1.7469358074451798e-08,3333000.266781947
1.0,86,1.7962190399572646e-08,3547644.0419886303
1.0,87,1.846910931374537e-08,3759322.76174795
1.0,88,1.8990520701330618e-08,3965921.1741169016
1.0,89,1.9526841974041325e-08,4165272.596933777
1.0,90,2.0078502377599705e-08,4355195.630383517
1.0,91,2.0645943305535987e-08,4533533.1323391665
1.0,92,2.1229618620297212e-08,4698192.50719404
1.0,93,2.1829994981843256e-08,4847186.271813414
1.0,94,2.2447552183917054e-08,4978671.808736261
1.0,95,2.3082783498186606e-08,5090989.200447799
1.0,96,2.373619602646685e-08,5182696.061551192
1.0,97,2.4408311061241437e-08,5252598.348355403
1.0,98,2.509966445471728e-08,5299776.226425749
1.0,99,2.581080699665658e-08,5323604.212878017
1.0,100,2.6542304801246205e-08,5323764.976863687
1.0,101,2.7294739703276914e-08,5300256.372593012
1.0,102,2.8068709663921323e-08,5253391.48700023
1.0,103,2.8864829186413534e-08,5183791.70056671
1.0,104,2.968372974195007e-08,5092372.976301563
1.0,105,3.0526060206148103e-08,4980325.799808438
1.0,106,3.139248730641296e-08,4849089.384536762
1.0,107,3.228369608058502e-08,4700320.923372752
1.0,108,3.320039034725298e-08,4535860.804397056
1.0,109,3.4143293188138353e-08,4357694.810169547
1.0,110,3.511314744297361e-08,4167914.383135271
1.0,111,3.611071621731531e-08,3968676.0632775105
1.0,112,3.7136783403750587e-08,3762161.1883718213
1.0,113,3.8192154216973907e-08,3550536.8941748636
1.0,114,3.927765574322952e-08,3335919.365220757
1.0,115,4.039413750463203e-08,3120340.1715043136
1.0,116,4.154247203889623e-08,2905716.3881151113
1.0,117,4.2723555495023637e-08,2693825.040419351
1.0,118,4.393830824551241e-08,2486282.2536100033
1.0,119,4.5187675515671805e-08,2284527.319227314
1.0,120,4.6472628030640705e-08,2089811.7291724256
1.0,121,4.779416268072529e-08,1903193.0757174252
1.0,122,4.915330320568741e-08,1725533.5791261455
1.0,123,5.0551100898628794e-08,1557502.8867895945
1.0,124,5.198863533013323e-08,1399584.6921422274
1.0,125,5.346701509334266e-08,1252086.6497785794
1.0,126,5.498737857065664e-08,1115153.01570541
1.0,127,5.655089472275883e-08,988779.4180152414
1.0,128,5.815876390068834e-08,872829.1619944986
1.0,129,5.98122186816846e-08,767050.4925213042
1.0,130,6.151252472955026e-08,671094.2727011334
1.0,131,6.32609816802867e-08,584531.5877650611
1.0,132,6.505892405376911e-08,506870.84382950695
1.0,133,6.690772219224318e-08,437573.9986732478
1.0,134,6.880878322643447e-08,376071.6328515859
1.0,135,7.07635520700747e-08,321776.64112945047
1.0,136,7.27735124436642e-08,274096.39364678686
1.0,137,7.484018792829716e-08,232443.28115810006
1.0,138,7.696514305039657e-08,196243.61733057993
1.0,139,7.914998439821068e-08,164944.9221717161
1.0,140,8.139636177094405e-08,138021.65340653868
1.0,141,8.37059693614068e-08,114979.48671224405
1.0,142,8.608054697308056e-08,95358.2712227437
1.0,143,8.852188127251853e-08,78733.80405236415
1.0,144,9.103180707800788e-08,64718.57743690598
1.0,145,9.361220868544785e-08,52961.65532584714
1.0,146,9.626502123240774e-08,43147.83387592612
1.0,147,9.899223210135437e-08,34996.23334725367
1.0,148,1.0179588236305366e-07,28258.458441611176
1.0,149,1.0467806826117902e-07,22716.451156514475
1.0,150,1.0764094273917428e-07,18180.14568375534
1.0,151,1.1068671701045122e-07,14485.019575170916
1.0,152,1.13817662173019e-07,11489.620025615599
1.0,153,1.1703611086967506e-07,9073.12924721896
1.0,154,1.2034445899491397e-07,7133.0189637323565
1.0,155,1.237451674497365e-07,5582.831349590161
1.0,156,1.2724076394557518e-07,4350.1124738245735
1.0,157,1.30833844858586e-07,3374.5145848457355
1.0,158,1.3452707713558214e-07,2606.075407348164
1.0,159,1.3832320025293092e-07,2003.6759708003854
1.0,160,1.4222502822975863e-07,1533.6732544271626
1.0,161,1.4623545169685986e-07,1168.6999861958948
1.0,162,1.5035744002273456e-07,886.6211217534283
1.0,163,1.5459404349821995e-07,669.6346922847362
1.0,164,1.589483955812334e-07,503.5036858875918
1.0,165,1.634237152031734e-07,376.90525960898947
1.0,166,1.6802330913857896e-07,280.8837245851735
1.0,167,1.7275057443969e-07,208.3942754583321
1.0,168,1.7760900093760148e-07,153.92523484704307
1.0,169,1.826021738117478e-07,113.18755898102386
1.0,170,1.8773377622950756e-07,82.861423622231
1.0,171,1.930075920577713e-07,60.39081811143069
1.0,172,1.9842750864836775e-07,43.81817240739007
1.0,173,2.039975196992871e-07,31.65209272343236
