height_m,bin_index,r_wet_m,number_concentration_m3
1.0,84,7.256153426099191e-08,6195420.666969509
1.0,85,7.491075350012259e-08,6527263.788176137
1.0,86,7.7330358897065e-08,6853012.685954414
1.0,87,7.982228042097593e-08,7170045.5479101185
1.0,88,8.238850076506762e-08,7475707.503223683
1.0,89,8.503105693499096e-08,7767346.766156407
1.0,90,8.775204187991263e-08,8042352.328921833
1.0,91,9.055360616717298e-08,8298192.469934898
1.0,92,9.343795970144863e-08,8532453.293390127
1.0,93,9.640737348940502e-08,8742876.486242643
1.0,94,9.946418145087478e-08,8927395.470640166
1.0,95,1.0261078227763995e-07,9084169.144700387
1.0,96,1.0584964134096539e-07,9211612.442431156
1.0,97,1.0918329264906415e-07,9308423.003989581
1.0,98,1.126143408557354e-07,9373603.328959495
1.0,99,1.1614546332146994e-07,9406477.885764103
1.0,100,1.1977941222835232e-07,9406704.766848791
1.0,101,1.2351901675015693e-07,9374281.60843449
1.0,102,1.2736718527906688e-07,9309545.631516283
1.0,103,1.3132690771050985e-07,9213167.80311004
1.0,104,1.3540125778763552e-07,9086141.259119479
1.0,105,1.3959339550704798e-07,8929764.26815513
1.0,106,1.4390656958741456e-07,8745618.144952118
1.0,107,1.483441200026772e-07,8535540.638756469
1.0,108,1.5290948058161515e-07,8301595.422726631
1.0,109,1.5760618167558833e-07,8046038.392163359
1.0,110,1.6243785289636513e-07,7771281.54008389
1.0,111,1.6740822592591915e-07,7479855.216877703
1.0,112,1.725211374002416e-07,7174369.595946088
1.0,113,1.7778053186913705e-07,6857476.159521461
1.0,114,1.8319046483407287e-07,6531829.989268654
1.0,115,1.8875510586615274e-07,6200053.596486267
1.0,116,1.9447874180624947e-07,5864702.959032445
1.0,117,2.0036578004946305e-07,5528236.349349051
1.0,118,2.0642075191588957e-07,5192986.443333407
1.0,119,2.1264831610993907e-07,4861136.096766256
1.0,120,2.1905326227029848e-07,4534698.068119531
1.0,121,2.2564051461279823e-07,4215498.85735585
1.0,122,2.324151356685408e-07,3905166.723184113
1.0,123,2.3938233011969084e-07,3605123.8392410553
1.0,124,2.465474487355095e-07,3316582.4555666214
1.0,125,2.539159924113043e-07,3040544.8478196636
1.0,126,2.614936163130467e-07,2777806.764711713
1.0,127,2.6928613413044493e-07,2528964.0253973734
1.0,128,2.772995224413334e-07,2294421.8737534266
1.0,129,2.8553992518993623e-07,2074406.6658186724
1.0,130,2.940136582818361e-07,1868979.4498623465
1.0,131,3.027272142978181e-07,1678050.9948885841
1.0,132,3.116872673289867e-07,1501397.8317782094
1.0,133,3.2090067793513744e-07,1338678.8903356467
1.0,134,3.3037449822839235e-07,1189452.3436466805
1.0,135,3.4011597708403305e-07,1053192.3066187187
1.0,136,3.5013256548059475e-07,929305.076569767
1.0,137,3.6043192197156583e-07,817144.648453722
1.0,138,3.7102191829123806e-07,716027.2840413118
1.0,139,3.8191064509800914e-07,625244.9615166646
1.0,140,3.931064178584022e-07,544077.5780725079
1.0,141,4.0461778287603253e-07,471803.82196611055
1.0,142,4.1645352346981383e-07,407710.67112451285
1.0,143,4.286226663058308e-07,351101.5119860751
1.0,144,4.411344878882753e-07,301302.90428548935
1.0,145,4.539985212136932e-07,257670.04460241488
1.0,146,4.6722456259447435e-07,219591.00357112038
1.0,147,4.808226786569082e-07,186489.82874064444
1.0,148,4.948032135180188e-07,157828.61738735094
1.0,149,5.091767961533407e-07,133108.67144140828
1.0,150,5.239543479581954e-07,111870.85052023016
1.0,151,5.391470905191718e-07,93695.23935436575
1.0,152,5.547665536045037e-07,78200.24317405891
1.0,153,5.70824583399932e-07,65041.21944123066
1.0,154,5.873333509973316e-07,53908.74719925664
1.0,155,6.043053611807082e-07,44526.62678443216
1.0,156,6.217534615257802e-07,36649.693173094754
1.0,157,6.396908518487169e-07,30061.516253227262
1.0,158,6.581310940531255e-07,24572.05117963544
1.0,159,6.770881223995093e-07,20015.292009913323
1.0,160,6.965762542461293e-07,16246.972276746637
1.0,161,7.166102012961771e-07,13142.347225742611
1.0,162,7.372050813904763e-07,10594.084277448137
1.0,163,7.583764308736843e-07,8510.280948940295
1.0,164,7.801402175570183e-07,6812.623042336674
1.0,165,8.025128543064514e-07,5434.69038578572
1.0,166,8.255112132470819e-07,4320.412777717224
1.0,167,8.491526406052442e-07,3422.6749941784583
1.0,168,8.734549721619625e-07,2702.066711103162
1.0,169,8.984365493109729e-07,2125.7708953101173
1.0,170,9.241162356947499e-07,1666.5825496559064
1.0,171,9.505134343869365e-07,1302.048575762457
1.0,172,9.776481055830366e-07,1013.7188592215466
1.0,173,1.0055407847629455e-06,786.4984073984702
1.0,174,1.034212601285132e-06,608.0904043328438
1.0,175,1.0636852973715423e-06,468.5203227732285
1.0,176,1.0939812474413775e-06,359.7316895310188
1.0,177,1.1251234777687137e-06,275.2446844017312
1.0,178,1.1571356864272582e-06,209.86942005341047
1.0,179,1.1900422635039377e-06,159.4664633109043
1.0,180,1.2238683115659368e-06,120.74788707963623
1.0,181,1.2586396663728298e-06,91.11286315383806
1.0,182,1.2943829178358528e-06,68.51250150671008
1.0,183,1.3311254312317756e-06,51.33929853114601
1.0,184,1.3688953686878395e-06,38.337166494660636
1.0,185,1.4077217109608975e-06,28.52857409756729
1.0,186,1.4476342795397252e-06,21.15583120615569
1.0,187,1.4886637591062901e-06,15.633999498147944
1.0,188,1.5308417203945672e-06,11.513306488530311
1.0,189,1.574200643491043e-06,8.449285969183492
1.0,190,1.6187739416226214e-06,6.179166859830816
1.0,191,1.6645959854804454e-06,4.503288868660938
1.0,192,1.7117021281287384e-06,3.2705414550603233
1.0,193,1.7601287305487051e-06,2.3670066525555415
1.0,194,1.8099131878668996e-06,1.7071405017612955
1.0,195,1.8610939563171952e-06,1.2269560887307096
1.0,196,1.9137105809840065e-06,0.8787771178248359
1.0,197,1.96780372437304e-06,0.6272178720714623
